"ResultsId","ExpId","1-Finished","1-FinishGain","1-MaxDuration","1-PotentialGain","1-RequiredAccuracy","1-StartGain","2-Finished","2-FinishGain","2-MaxDuration","2-PotentialGain","2-RequiredAccuracy","2-StartGain","3-1-1-Angle","3-1-1-Block","3-1-1-Coherence","3-1-1-CorrectResponse","3-1-1-IsCorrect","3-1-1-Order","3-1-1-Response","3-1-1-StartCorrect","3-1-1-StartDuration","3-1-1-StartScore","3-1-1-Time","3-1-2-Angle","3-1-2-Block","3-1-2-Coherence","3-1-2-CorrectResponse","3-1-2-IsCorrect","3-1-2-Order","3-1-2-Response","3-1-2-StartCorrect","3-1-2-StartDuration","3-1-2-StartScore","3-1-2-Time","3-1-3-Angle","3-1-3-Block","3-1-3-Coherence","3-1-3-CorrectResponse","3-1-3-IsCorrect","3-1-3-Order","3-1-3-Response","3-1-3-StartCorrect","3-1-3-StartDuration","3-1-3-StartScore","3-1-3-Time","3-1-4-Angle","3-1-4-Block","3-1-4-Coherence","3-1-4-CorrectResponse","3-1-4-IsCorrect","3-1-4-Order","3-1-4-Response","3-1-4-StartCorrect","3-1-4-StartDuration","3-1-4-StartScore","3-1-4-Time","3-1-5-Angle","3-1-5-Block","3-1-5-Coherence","3-1-5-CorrectResponse","3-1-5-IsCorrect","3-1-5-Order","3-1-5-Response","3-1-5-StartCorrect","3-1-5-StartDuration","3-1-5-StartScore","3-1-5-Time","3-1-6-Angle","3-1-6-Block","3-1-6-Coherence","3-1-6-CorrectResponse","3-1-6-IsCorrect","3-1-6-Order","3-1-6-Response","3-1-6-StartCorrect","3-1-6-StartDuration","3-1-6-StartScore","3-1-6-Time","3-1-7-Angle","3-1-7-Block","3-1-7-Coherence","3-1-7-CorrectResponse","3-1-7-IsCorrect","3-1-7-Order","3-1-7-Response","3-1-7-StartCorrect","3-1-7-StartDuration","3-1-7-StartScore","3-1-7-Time","3-1-8-Angle","3-1-8-Block","3-1-8-Coherence","3-1-8-CorrectResponse","3-1-8-IsCorrect","3-1-8-Order","3-1-8-Response","3-1-8-StartCorrect","3-1-8-StartDuration","3-1-8-StartScore","3-1-8-Time","3-Finished","3-FinishGain","3-MaxDuration","3-PotentialGain","3-RequiredAccuracy","3-StartGain","4-Finished","4-MaxDuration","4-PotentialGain","4-RequiredAccuracy","4-StartGain","age","blockorder","condition","country","finished","gainfinish","gainstart","gender","source","stage","started","Stats-Blank-Average","Stats-Blank-Max","Stats-Blank-Min","Stats-Blank-Stdev","subjectid","Tag","UserAgent","WindowSize","UpdatedIP","CreatedIP","Updated","Created",
"11045","study6ap","1","0","0","0","0","0","1","0","0","0","0","0","270","3","0.10","1","0","4","2","2","3548.7929999944754","","1758","270","3","0.15","1","1","8","1","2","10898.179999989225","","2194","270","3","0.20","1","1","2","1","1","1232.9139999928884","","1142","270","3","0.25","1","0","6","2","2","8315.72500000766","","1039","90","3","0.10","2","1","1","2","0","0","","1222","90","3","0.15","2","0","3","1","2","2382.5229999929434","","1159","90","3","0.20","2","-1","5","-1","2","5314.8590000055265","","-1","90","3","0.25","2","0","7","1","2","9365.367999998853","","1521","1","0","0","0","0","0","0","0","0","0","0","33","[1,2,3,4]","1","United States","1","0","0","female","mturk","1","1","516.49","516.49","516.49","0","1060","Study 4a","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.186 Safari/537.36","","173.25.25.86","173.25.25.86","28-02-2018 08:51:17","28-02-2018 08:49:37",
"11048","study6ap","1","0","0","0","0","0","1","0","0","0","0","0","270","3","0.10","1","1","3","1","0","1916.7220001108944","","894","270","3","0.15","1","0","2","2","0","1000.0289999879897","","909","270","3","0.20","1","1","4","1","1","2816.746999975294","","833","270","3","0.25","1","0","7","2","4","7150.071999756619","","920","90","3","0.10","2","0","1","1","0","0","","990","90","3","0.15","2","1","5","2","2","3600.1130000222474","","2235","90","3","0.20","2","1","6","2","3","5833.393999841064","","1320","90","3","0.25","2","1","8","2","4","8066.739999689162","","2302","1","0","0","0","0","0","0","0","0","0","0","41","[1,2,3,4]","1","US","1","0","0","female","mturk","1","1","502.22","516.65","500.03","5.46","1062","Study 4a","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.186 Safari/537.36","","96.30.236.254","96.30.236.254","28-02-2018 08:54:08","28-02-2018 08:52:45",
"11050","study6ap","1","0","0","0","0","0","1","0","0","0","0","0","270","3","0.10","1","0","7","2","2","9159.264999994775","","2047","270","3","0.15","1","0","1","2","0","0","","786","270","3","0.20","1","1","6","1","1","7724.478999996791","","1436","270","3","0.25","1","0","2","2","0","784.1329999937443","","1475","90","3","0.10","2","1","3","2","0","2285.6339999998454","","2353","90","3","0.15","2","0","4","1","1","4638.0150000040885","","1462","90","3","0.20","2","0","5","1","1","6106.169000006048","","1616","90","3","0.25","2","0","8","1","2","11211.334999999963","","1569","1","0","0","0","0","0","0","0","0","0","0","23","[1,2,3,4]","1","United States","1","0","0","male","mturk","1","1","500.52","500.67","500.5","0.06","1063","Study 4a","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36","","71.224.2.157","71.224.2.157","28-02-2018 08:55:23","28-02-2018 08:54:06",
"11067","study6ap","1","0","0","0","0","0","1","0","0","0","0","0","270","3","0.10","1","-1","3","-1","1","2754.608136390365","","-1","270","3","0.15","1","1","8","1","2","13506.61801260928","","2089","270","3","0.20","1","0","6","2","2","9349.578944092646","","1746","270","3","0.25","1","0","7","2","2","11102.430634608609","","2396","90","3","0.10","2","0","2","1","1","1953.2494750694314","","798","90","3","0.15","2","1","1","2","0","0","","1947","90","3","0.20","2","0","5","1","2","7212.54836953475","","2128","90","3","0.25","2","1","4","2","1","5759.872678849177","","1449","1","0","0","0","0","0","0","0","0","0","0","28","[1,2,3,4]","2","United States","1","0","0","female","mturk","1","1","500.9","501.06","500.72","0.1","1064","Study 4a","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:58.0) Gecko/20100101 Firefox/58.0","","73.79.229.93","73.79.229.93","28-02-2018 09:17:06","28-02-2018 09:14:34",
"11073","study6ap","1","0","0","0","0","0","1","0","0","0","0","0","270","3","0.10","1","1","5","1","2","7965.436599000008","","1476","270","3","0.15","1","-1","1","-1","0","0","","-1","270","3","0.20","1","1","4","1","1","6166.125178000002","","1794","270","3","0.25","1","0","6","2","3","9448.637910000005","","2285","90","3","0.10","2","1","2","2","0","3016.5814260000043","","2397","90","3","0.15","2","0","7","1","3","11748.716545999996","","1624","90","3","0.20","2","0","3","1","1","5416.2704740000045","","741","90","3","0.25","2","0","8","1","3","13382.48754599999","","2933","1","0","0","0","0","0","0","0","0","0","0","33","[1,2,3,4]","2","United States","1","0","0","male","mturk","1","1","508.28","516.7","500.01","8","1065","Study 4a","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:58.0) Gecko/20100101 Firefox/58.0","","192.243.109.118","192.243.109.118","28-02-2018 09:53:00","28-02-2018 09:51:02",
"11074","study6ap","1","0","0","0","0","0","1","0","0","0","0","0","270","3","0.10","1","0","8","2","4","11616.202000019257","","2337","270","3","0.15","1","0","2","2","0","2433.235999997123","","1239","270","3","0.20","1","0","7","2","4","10032.932000016444","","1581","270","3","0.25","1","0","1","2","0","0","","2436","90","3","0.10","2","1","5","2","2","6799.72799999814","","1381","90","3","0.15","2","1","3","2","0","3666.5199999988545","","1500","90","3","0.20","2","1","4","2","1","5166.459999993094","","1634","90","3","0.25","2","1","6","2","3","8183.006000006571","","1850","1","0","0","0","0","0","0","0","0","0","0","30","[1,2,3,4]","1","United States","1","0","0","female","mturk","1","1","516.65","516.65","516.65","0","1066","Study 4a","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36","","69.36.57.162","69.36.57.162","28-02-2018 09:53:38","28-02-2018 09:51:46",
"11077","study6ap","1","0","0","0","0","0","1","0","0","0","0","0","270","3","0.10","1","1","2","1","1","1566.603999817744","","2126","270","3","0.15","1","0","8","2","5","13466.127999825403","","2011","270","3","0.20","1","0","6","2","4","10116.26199982129","","1922","270","3","0.25","1","1","5","1","3","7966.347999870777","","2147","90","3","0.10","2","1","7","2","4","12049.51799986884","","1402","90","3","0.15","2","-1","3","-1","2","3699.8519997578114","","-1","90","3","0.20","2","1","1","2","0","0","","1555","90","3","0.25","2","1","4","2","2","6716.3979997858405","","1239","1","0","0","0","0","0","0","0","0","0","0","68","[1,2,3,4]","2","USA","1","0","0","male","mturk","1","1","516.65","516.65","516.65","0","1067","Study 4a","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.88 Safari/537.36","","173.244.200.121","173.244.200.121","28-02-2018 09:55:43","28-02-2018 09:54:19",
"11082","study6ap","1","0","0","0","0","0","1","0","0","0","0","0","270","3","0.10","1","1","1","1","0","0","","1699","270","3","0.15","1","1","6","1","4","8222.688999958336","","924","270","3","0.20","1","-1","2","-1","1","1715.7440000446513","","-1","270","3","0.25","1","1","4","1","2","5774.86400003545","","681","90","3","0.10","2","1","3","2","1","4739.058000035584","","1024","90","3","0.15","2","1","7","2","5","9158.875999972224","","902","90","3","0.20","2","1","5","2","3","6456.612000009045","","1763","90","3","0.25","2","1","8","2","6","10066.915999981575","","1518","1","0","0","0","0","0","0","0","0","0","0","52","[1,2,3,4]","1","United States","1","0","0","female","mturk","1","1","502.67","504.94","500.03","1.98","1068","Study 4a","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.167 Safari/537.36","","190.104.221.139","190.104.221.139","28-02-2018 10:14:13","28-02-2018 10:11:31",
"11089","study6ap","1","0","0","0","0","0","1","0","0","0","0","0","270","3","0.10","1","0","1","2","0","0","","2965","270","3","0.15","1","1","3","1","0","5965.38700000383","","2072","270","3","0.20","1","-1","2","-1","0","2965.3330000001006","","-1","270","3","0.25","1","0","6","2","1","10132.185999973444","","716","90","3","0.10","2","0","5","1","1","8923.806999984663","","1208","","","","","","","","","","","","","","","","","","","","","","","90","3","0.25","2","0","4","1","1","8034.882999985712","","889","0","","0","0","0","0","","","","","","29","[1,2,3,4]","1","usa","0","","0","male","mturk","1","1","","","","","1071","Study 4a","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36","","68.7.50.222","68.7.50.222","01-03-2018 11:19:49","01-03-2018 11:18:17",
"11090","study6ap","1","0","0","0","0","0","1","0","0","0","0","0","270","3","0.10","1","0","6","2","1","8416.338999988511","","1609","270","3","0.15","1","1","8","1","1","12549.480999994557","","1751","270","3","0.20","1","0","2","2","0","1433.2789999898523","","1358","270","3","0.25","1","0","7","2","1","10032.914999988861","","2508","90","3","0.10","2","0","5","1","1","6749.707999988459","","1658","90","3","0.15","2","1","4","2","0","4483.161000011023","","2257","90","3","0.20","2","0","1","1","0","0","","1433","90","3","0.25","2","0","3","1","0","2799.897000018973","","1683","1","0","0","0","0","0","0","0","0","0","0","52","[1,2,3,4]","2","United States","1","0","0","male","mturk","1","1","512.51","516.66","500","7.16","1072","Study 4a","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.186 Safari/537.36","","24.60.247.22","24.60.247.22","01-03-2018 11:44:15","01-03-2018 11:41:03",
