resultid,subjectid,age,gender,source,experiment,block,blockorder,requiredaccuracy,maxduration,startgain,potentialgain,finishgain,trial,repeat,order,brightness,time,response,correctresponse,iscorrect,startcorrect,startduration
1052,1030,23,female,Not Set,study3bp,3,3,0,0,0,0,0,1,1,4,0.38,672,2,2,1,2,2385.0969999912195
1052,1030,23,female,Not Set,study3bp,3,3,0,0,0,0,0,2,1,2,0.42,781,2,2,1,1,750.5550000059884
1052,1030,23,female,Not Set,study3bp,3,3,0,0,0,0,0,3,1,6,0.47,1250,2,2,1,4,3802.8119999798946
1052,1030,23,female,Not Set,study3bp,3,3,0,0,0,0,0,4,1,3,0.485,849,1,2,0,2,1534.4679999980144
1052,1030,23,female,Not Set,study3bp,3,3,0,0,0,0,0,5,1,1,0.53,741,1,1,1,0,0
1052,1030,23,female,Not Set,study3bp,3,3,0,0,0,0,0,6,1,5,0.58,721,1,1,1,3,3068.935999981477
1052,1030,23,female,Not Set,study3bp,3,3,0,0,0,0,0,7,1,8,0.515,607,1,1,1,6,5604.143999968073
1052,1030,23,female,Not Set,study3bp,3,3,0,0,0,0,0,8,1,7,0.62,541,1,1,1,5,5053.736999980174
