resultid,subjectid,age,gender,source,experiment,block,blockorder,requiredaccuracy,maxduration,startgain,potentialgain,finishgain,trial,repeat,order,brightness,time,response,correctresponse,iscorrect,startcorrect,startduration
1054,1030,23,female,Not Set,study3bs,1,1,0,0,0,0,0,1,1,120,0.38,605,2,2,1,88,56242.840000020806
1054,1030,23,female,Not Set,study3bs,1,1,0,0,0,0,0,2,1,40,0.42,438,2,2,1,28,16812.930000014603
1054,1030,23,female,Not Set,study3bs,1,1,0,0,0,0,0,3,1,76,0.47,529,2,2,1,56,35476.94599996612
1054,1030,23,female,Not Set,study3bs,1,1,0,0,0,0,0,4,1,94,0.485,578,2,2,1,69,44450.78699999431
1054,1030,23,female,Not Set,study3bs,1,1,0,0,0,0,0,5,1,72,0.53,509,1,1,1,53,33375.391999972635
1054,1030,23,female,Not Set,study3bs,1,1,0,0,0,0,0,6,1,119,0.58,356,1,1,1,87,55875.90200002887
1054,1030,23,female,Not Set,study3bs,1,1,0,0,0,0,0,7,1,6,0.515,401,1,1,1,3,2618.603000009898
1054,1030,23,female,Not Set,study3bs,1,1,0,0,0,0,0,8,1,109,0.62,402,1,1,1,79,51372.572000022046
1054,1030,23,female,Not Set,study3bs,1,1,0,0,0,0,0,9,1,74,0.38,612,2,2,1,55,34309.41599997459
1054,1030,23,female,Not Set,study3bs,1,1,0,0,0,0,0,10,1,30,0.42,400,2,2,1,19,12409.428000013577
1054,1030,23,female,Not Set,study3bs,1,1,0,0,0,0,0,11,1,95,0.47,393,2,2,1,70,45034.55199999735
1054,1030,23,female,Not Set,study3bs,1,1,0,0,0,0,0,12,1,2,0.485,440,2,2,1,0,817.2710000071675
1054,1030,23,female,Not Set,study3bs,1,1,0,0,0,0,0,13,1,118,0.53,456,2,1,0,87,55408.89000003517
1054,1030,23,female,Not Set,study3bs,1,1,0,0,0,0,0,14,1,79,0.58,458,1,1,1,59,36928.25799995626
1054,1030,23,female,Not Set,study3bs,1,1,0,0,0,0,0,15,1,110,0.515,385,1,1,1,80,51772.86800002912
1054,1030,23,female,Not Set,study3bs,1,1,0,0,0,0,0,16,1,62,0.62,645,1,1,1,45,28405.049999957555
1054,1030,23,female,Not Set,study3bs,1,1,0,0,0,0,0,17,1,7,0.38,544,2,2,1,4,3018.8990000024205
1054,1030,23,female,Not Set,study3bs,1,1,0,0,0,0,0,18,1,39,0.42,458,2,2,1,27,16345.918000020902
1054,1030,23,female,Not Set,study3bs,1,1,0,0,0,0,0,19,1,4,0.47,409,2,2,1,1,1717.9370000085328
1054,1030,23,female,Not Set,study3bs,1,1,0,0,0,0,0,20,1,16,0.485,371,1,2,0,11,6921.7850000131875
1054,1030,23,female,Not Set,study3bs,1,1,0,0,0,0,0,21,1,77,0.53,418,1,1,1,57,36010.912999961874
1054,1030,23,female,Not Set,study3bs,1,1,0,0,0,0,0,22,1,41,0.58,570,1,1,1,29,17263.263000015286
1054,1030,23,female,Not Set,study3bs,1,1,0,0,0,0,0,23,1,68,0.515,363,1,1,1,50,31390.590999959386
1054,1030,23,female,Not Set,study3bs,1,1,0,0,0,0,0,24,1,115,0.62,486,1,1,1,84,54007.85400002496
1054,1030,23,female,Not Set,study3bs,1,1,0,0,0,0,0,25,1,117,0.38,419,2,2,1,86,54975.23600002751
1054,1030,23,female,Not Set,study3bs,1,1,0,0,0,0,0,26,1,106,0.42,365,1,2,0,78,50054.931000006036
1054,1030,23,female,Not Set,study3bs,1,1,0,0,0,0,0,27,1,99,0.47,450,1,2,0,73,46835.88400000008
1054,1030,23,female,Not Set,study3bs,1,1,0,0,0,0,0,28,1,17,0.485,266,1,2,0,11,7305.402000012691
1054,1030,23,female,Not Set,study3bs,1,1,0,0,0,0,0,29,1,114,0.53,450,1,1,1,83,53557.52100002428
1054,1030,23,female,Not Set,study3bs,1,1,0,0,0,0,0,30,1,58,0.58,408,1,1,1,42,26120.026999968104
1054,1030,23,female,Not Set,study3bs,1,1,0,0,0,0,0,31,1,15,0.515,389,1,1,1,10,6521.489000006113
1054,1030,23,female,Not Set,study3bs,1,1,0,0,0,0,0,32,1,78,0.62,489,1,1,1,58,36427.88799996197
1054,1030,23,female,Not Set,study3bs,1,1,0,0,0,0,0,33,1,97,0.38,473,2,2,1,72,45918.539000005694
1054,1030,23,female,Not Set,study3bs,1,1,0,0,0,0,0,34,1,38,0.42,388,2,2,1,26,15945.62200002838
1054,1030,23,female,Not Set,study3bs,1,1,0,0,0,0,0,35,1,92,0.47,394,1,2,0,69,43566.79999998596
1054,1030,23,female,Not Set,study3bs,1,1,0,0,0,0,0,36,1,86,0.485,459,2,2,1,64,40581.25899996958
