resultid,subjectid,age,gender,source,experiment,block,blockorder,requiredaccuracy,maxduration,startgain,potentialgain,finishgain,trial,repeat,order,brightness,time,response,correctresponse,iscorrect,startcorrect,startduration
1063,1002,23,female,Not Set,study4ba,1,1,0,0,0,0,0,1,1,42,0.38,681,2,1,0,4,21351.38099984033
1063,1002,23,female,Not Set,study4ba,1,1,0,0,0,0,0,2,1,38,0.4,356,2,1,0,4,19518.010999832768
1063,1002,23,female,Not Set,study4ba,1,1,0,0,0,0,0,3,1,77,0.42,758,2,1,0,9,41968.96799973911
1063,1002,23,female,Not Set,study4ba,1,1,0,0,0,0,0,4,1,99,0.44,475,2,1,0,11,53169.65499968501
1063,1002,23,female,Not Set,study4ba,1,1,0,0,0,0,0,5,1,5,0.46,457,2,1,0,0,2033.8719999417663
1063,1002,23,female,Not Set,study4ba,1,1,0,0,0,0,0,6,1,7,0.48,646,2,1,0,0,3033.891999919433
1063,1002,23,female,Not Set,study4ba,1,1,0,0,0,0,0,7,1,64,0.52,556,2,2,1,7,34702.1559997811
1063,1002,23,female,Not Set,study4ba,1,1,0,0,0,0,0,8,1,67,0.54,535,1,2,0,8,36268.853999790736
1063,1002,23,female,Not Set,study4ba,1,1,0,0,0,0,0,9,1,16,0.56,461,1,2,0,1,8400.665999914054
1063,1002,23,female,Not Set,study4ba,1,1,0,0,0,0,0,10,1,19,0.58,630,1,2,0,1,9950.696999905631
1063,1002,23,female,Not Set,study4ba,1,1,0,0,0,0,0,11,1,13,0.6,482,1,2,0,1,7017.304999928456
1063,1002,23,female,Not Set,study4ba,1,1,0,0,0,0,0,12,1,6,0.62,525,1,2,0,0,2500.547999923583
1063,1002,23,female,Not Set,study4ba,1,1,0,0,0,0,0,13,1,20,0.38,431,2,1,0,1,10584.042999893427
1063,1002,23,female,Not Set,study4ba,1,1,0,0,0,0,0,14,1,63,0.4,462,2,1,0,7,34235.47999979928
1063,1002,23,female,Not Set,study4ba,1,1,0,0,0,0,0,15,1,43,0.42,598,2,1,0,4,22034.7279998241
1063,1002,23,female,Not Set,study4ba,1,1,0,0,0,0,0,16,1,100,0.44,460,2,1,0,11,53652.997999684885
1063,1002,23,female,Not Set,study4ba,1,1,0,0,0,0,0,17,1,113,0.46,547,2,1,0,13,61820.33799961209
1063,1002,23,female,Not Set,study4ba,1,1,0,0,0,0,0,18,1,24,0.48,645,2,1,0,1,12417.868999938946
1063,1002,23,female,Not Set,study4ba,1,1,0,0,0,0,0,19,1,25,0.52,495,1,2,0,1,13067.881999944802
1063,1002,23,female,Not Set,study4ba,1,1,0,0,0,0,0,20,1,18,0.54,446,1,2,0,1,9500.687999883667
1063,1002,23,female,Not Set,study4ba,1,1,0,0,0,0,0,21,1,8,0.56,1075,2,2,1,0,3683.9049999252893
1063,1002,23,female,Not Set,study4ba,1,1,0,0,0,0,0,22,1,79,0.58,514,1,2,0,9,43385.662999760825
1063,1002,23,female,Not Set,study4ba,1,1,0,0,0,0,0,23,1,71,0.6,421,1,2,0,9,38585.56699973997
1063,1002,23,female,Not Set,study4ba,1,1,0,0,0,0,0,24,1,10,0.62,459,1,2,0,1,5333.93799996702
1063,1002,23,female,Not Set,study4ba,1,1,0,0,0,0,0,25,1,61,0.38,420,2,1,0,7,33085.45699977549
1063,1002,23,female,Not Set,study4ba,1,1,0,0,0,0,0,26,1,39,0.4,367,2,1,0,4,19884.68499982264
1063,1002,23,female,Not Set,study4ba,1,1,0,0,0,0,0,27,1,118,0.42,425,2,1,0,14,64487.555999541655
1063,1002,23,female,Not Set,study4ba,1,1,0,0,0,0,0,28,1,107,0.44,685,2,1,0,13,57636.41099957749
1063,1002,23,female,Not Set,study4ba,1,1,0,0,0,0,0,29,1,21,0.46,444,2,1,0,1,11017.384999897331
1063,1002,23,female,Not Set,study4ba,1,1,0,0,0,0,0,30,1,47,0.48,493,2,1,0,4,24501.443999877665
1063,1002,23,female,Not Set,study4ba,1,1,0,0,0,0,0,31,1,87,0.52,613,2,2,1,10,47419.539999740664
1063,1002,23,female,Not Set,study4ba,1,1,0,0,0,0,0,32,1,58,0.54,712,1,2,0,7,31135.417999816127
1063,1002,23,female,Not Set,study4ba,1,1,0,0,0,0,0,33,1,17,0.56,635,1,2,0,1,8867.34199989587
1063,1002,23,female,Not Set,study4ba,1,1,0,0,0,0,0,34,1,1,0.58,577,1,2,0,0,0
1063,1002,23,female,Not Set,study4ba,1,1,0,0,0,0,0,35,1,49,0.6,512,1,2,0,5,25784.80299981311
1063,1002,23,female,Not Set,study4ba,1,1,0,0,0,0,0,36,1,90,0.62,446,1,2,0,11,49052.90599970613
