resultid,subjectid,age,gender,source,experiment,block,blockorder,requiredaccuracy,maxduration,startgain,potentialgain,finishgain,trial,repeat,order,coherence,angle,time,response,correctresponse,iscorrect,startcorrect,startduration,effortbefore,effortafter
1734,1002,23,female,Not Set,study6as,1,1,0,0,0,0,0,1,1,157,0.10,270,458,2,1,0,128,78713.8369999011,,
1734,1002,23,female,Not Set,study6as,1,1,0,0,0,0,0,2,1,19,0.15,270,435,1,1,1,12,10258.336000028066,,
1734,1002,23,female,Not Set,study6as,1,1,0,0,0,0,0,3,1,45,0.20,270,541,1,1,1,34,23352.34200017294,,
1734,1002,23,female,Not Set,study6as,1,1,0,0,0,0,0,4,1,152,0.25,270,435,1,1,1,124,76295.38199986564,,
1734,1002,23,female,Not Set,study6as,1,1,0,0,0,0,0,5,1,37,0.10,90,558,1,2,0,28,18798.475000134204,,
1734,1002,23,female,Not Set,study6as,1,1,0,0,0,0,0,6,1,175,0.15,90,629,2,2,1,138,88255.01399976201,,
1734,1002,23,female,Not Set,study6as,1,1,0,0,0,0,0,7,1,72,0.20,90,419,2,2,1,57,36946.713000303134,,
1734,1002,23,female,Not Set,study6as,1,1,0,0,0,0,0,8,1,27,0.25,90,568,2,2,1,20,13761.175000108778,,
1734,1002,23,female,Not Set,study6as,1,1,0,0,0,0,0,9,1,80,0.10,270,642,1,1,1,63,41166.743000387214,,
1734,1002,23,female,Not Set,study6as,1,1,0,0,0,0,0,10,1,71,0.15,270,530,1,1,1,56,36412.73400030332,,
1734,1002,23,female,Not Set,study6as,1,1,0,0,0,0,0,11,1,81,0.20,270,505,1,1,1,64,41817.22400034778,,
1734,1002,23,female,Not Set,study6as,1,1,0,0,0,0,0,12,1,140,0.25,270,464,1,1,1,113,70357.20699996455,,
1734,1002,23,female,Not Set,study6as,1,1,0,0,0,0,0,13,1,46,0.10,90,460,1,2,0,35,23902.74900017539,,
1734,1002,23,female,Not Set,study6as,1,1,0,0,0,0,0,14,1,16,0.15,90,414,2,2,1,9,8940.442000050098,,
1734,1002,23,female,Not Set,study6as,1,1,0,0,0,0,0,15,1,120,0.20,90,468,2,2,1,97,60882.75700004306,,
1734,1002,23,female,Not Set,study6as,1,1,0,0,0,0,0,16,1,74,0.25,90,477,2,2,1,58,37780.66300030332,,
1734,1002,23,female,Not Set,study6as,1,1,0,0,0,0,0,17,1,198,0.10,270,482,1,1,1,157,100481.70599987498,,
1734,1002,23,female,Not Set,study6as,1,1,0,0,0,0,0,18,1,11,0.15,270,575,1,1,1,6,6004.698999982793,,
1734,1002,23,female,Not Set,study6as,1,1,0,0,0,0,0,19,1,111,0.20,270,511,1,1,1,90,56245.55500020506,,
1734,1002,23,female,Not Set,study6as,1,1,0,0,0,0,0,20,1,183,0.25,270,585,1,1,1,145,92725.2369998605,,
1734,1002,23,female,Not Set,study6as,1,1,0,0,0,0,0,21,1,136,0.10,90,443,1,2,0,110,68455.5569999502,,
1734,1002,23,female,Not Set,study6as,1,1,0,0,0,0,0,22,1,73,0.15,90,416,1,2,0,58,37363.68800030323,,
1734,1002,23,female,Not Set,study6as,1,1,0,0,0,0,0,23,1,53,0.20,90,374,2,2,1,39,28156.12700028578,,
1734,1002,23,female,Not Set,study6as,1,1,0,0,0,0,0,24,1,84,0.25,90,441,2,2,1,67,43234.939000278246,,
1734,1002,23,female,Not Set,study6as,1,1,0,0,0,0,0,25,1,86,0.10,270,398,1,1,1,69,44219.251000264194,,
1734,1002,23,female,Not Set,study6as,1,1,0,0,0,0,0,26,1,40,0.15,270,-1,-1,1,-1,30,20449.941000144463,,
1734,1002,23,female,Not Set,study6as,1,1,0,0,0,0,0,27,1,3,0.20,270,483,1,1,1,1,1651.2210000073537,,
1734,1002,23,female,Not Set,study6as,1,1,0,0,0,0,0,28,1,36,0.25,270,475,1,1,1,27,18314.784000162035,,
1734,1002,23,female,Not Set,study6as,1,1,0,0,0,0,0,29,1,166,0.10,90,825,1,2,0,134,83100.98599974299,,
1734,1002,23,female,Not Set,study6as,1,1,0,0,0,0,0,30,1,68,0.15,90,440,2,2,1,53,35078.414000279736,,
1734,1002,23,female,Not Set,study6as,1,1,0,0,0,0,0,31,1,118,0.20,90,442,2,2,1,95,59948.73300008476,,
1734,1002,23,female,Not Set,study6as,1,1,0,0,0,0,0,32,1,13,0.25,90,450,2,2,1,7,7589.44299997529,,
1734,1002,23,female,Not Set,study6as,1,1,0,0,0,0,0,33,1,112,0.10,270,512,2,1,0,91,56762.79700017767,,
1734,1002,23,female,Not Set,study6as,1,1,0,0,0,0,0,34,1,167,0.15,270,532,1,1,1,134,83934.93599974317,,
1734,1002,23,female,Not Set,study6as,1,1,0,0,0,0,0,35,1,147,0.20,270,529,1,1,1,119,73776.64499985985,,
1734,1002,23,female,Not Set,study6as,1,1,0,0,0,0,0,36,1,125,0.25,270,459,1,1,1,100,63301.45500000799,,
1734,1002,23,female,Not Set,study6as,1,1,0,0,0,0,0,37,1,156,0.10,90,536,2,2,1,127,78180.10899989167,,
1734,1002,23,female,Not Set,study6as,1,1,0,0,0,0,0,38,1,179,0.15,90,658,2,2,1,141,90590.32499976456,,
1734,1002,23,female,Not Set,study6as,1,1,0,0,0,0,0,39,1,47,0.20,90,512,2,2,1,35,24369.761000212748,,
1734,1002,23,female,Not Set,study6as,1,1,0,0,0,0,0,40,1,161,0.25,90,484,2,2,1,129,80448.74499982689,,
1734,1002,23,female,Not Set,study6as,1,1,0,0,0,0,0,41,1,151,0.10,270,424,1,1,1,123,75861.51999986032,,
1734,1002,23,female,Not Set,study6as,1,1,0,0,0,0,0,42,1,8,0.15,270,483,2,1,0,4,4620.341999980155,,
