resultid,subjectid,age,gender,source,experiment,block,blockorder,requiredaccuracy,maxduration,startgain,potentialgain,finishgain,trial,repeat,order,coherence,angle,time,response,correctresponse,iscorrect,startcorrect,startduration,effortbefore,effortafter
1522,1011,18,female,Not Set,study4ap,3,3,0,0,0,0,0,7,1,6,0.5,90,1228,2,2,1,0,6916.324000000037,,
1522,1011,18,female,Not Set,study4ap,3,3,0,0,0,0,0,8,1,7,0.6,90,1066,2,2,1,1,8149.274000000063,,
1527,1013,18,Female,Not Set,study4ap,3,3,0,0,0,0,0,1,1,1,0.1,270,-1,-1,1,-1,0,0,,
1527,1013,18,Female,Not Set,study4ap,3,3,0,0,0,0,0,2,1,3,0.3,270,800,1,1,1,1,3832.9899999998815,,
1527,1013,18,Female,Not Set,study4ap,3,3,0,0,0,0,0,3,1,7,0.5,270,647,1,1,1,4,6548.804999999913,,
1527,1013,18,Female,Not Set,study4ap,3,3,0,0,0,0,0,4,1,8,0.6,270,644,1,1,1,5,7198.720999999998,,
1527,1013,18,Female,Not Set,study4ap,3,3,0,0,0,0,0,5,1,6,0.1,90,850,1,2,0,4,5698.956999999842,,
1527,1013,18,Female,Not Set,study4ap,3,3,0,0,0,0,0,6,1,2,0.3,90,802,2,2,1,0,3016.499999999949,,
1527,1013,18,Female,Not Set,study4ap,3,3,0,0,0,0,0,7,1,5,0.5,90,512,2,2,1,3,5182.694999999971,,
1527,1013,18,Female,Not Set,study4ap,3,3,0,0,0,0,0,8,1,4,0.6,90,536,2,2,1,2,4632.877999999888,,
1532,1012,20,Not Set,Not Set,study4ap,3,3,0,0,0,0,0,1,1,7,0.1,270,330,1,1,1,6,3133.6690000007293,,
1532,1012,20,Not Set,Not Set,study4ap,3,3,0,0,0,0,0,2,1,5,0.3,270,354,1,1,1,4,2400.5839999999807,,
1532,1012,20,Not Set,Not Set,study4ap,3,3,0,0,0,0,0,3,1,3,0.5,270,612,1,1,1,2,1383.722000000489,,
1532,1012,20,Not Set,Not Set,study4ap,3,3,0,0,0,0,0,4,1,2,0.6,270,723,1,1,1,1,649.9770000000353,,
1532,1012,20,Not Set,Not Set,study4ap,3,3,0,0,0,0,0,5,1,8,0.1,90,1036,2,2,1,7,3467.462000000516,,
1532,1012,20,Not Set,Not Set,study4ap,3,3,0,0,0,0,0,6,1,4,0.3,90,386,2,2,1,3,2000.71300000036,,
1532,1012,20,Not Set,Not Set,study4ap,3,3,0,0,0,0,0,7,1,6,0.5,90,353,2,2,1,5,2767.1360000003842,,
1532,1012,20,Not Set,Not Set,study4ap,3,3,0,0,0,0,0,8,1,1,0.6,90,638,2,2,1,0,0,,
1537,1017,22,Male,Not Set,study4ap,3,3,0,0,0,0,0,1,1,6,0.1,270,-1,-1,1,-1,4,7215.24500000033,,
1537,1017,22,Male,Not Set,study4ap,3,3,0,0,0,0,0,2,1,3,0.3,270,1128,1,1,1,1,4715.897000000041,,
1537,1017,22,Male,Not Set,study4ap,3,3,0,0,0,0,0,3,1,1,0.5,270,-1,-1,1,-1,0,0,,
1537,1017,22,Male,Not Set,study4ap,3,3,0,0,0,0,0,4,1,7,0.6,270,1105,1,1,1,4,10231.282000000647,,
1537,1017,22,Male,Not Set,study4ap,3,3,0,0,0,0,0,5,1,8,0.1,90,1202,2,2,1,5,11348.47300000093,,
1537,1017,22,Male,Not Set,study4ap,3,3,0,0,0,0,0,6,1,5,0.3,90,720,2,2,1,3,6482.0090000002965,,
1537,1017,22,Male,Not Set,study4ap,3,3,0,0,0,0,0,7,1,2,0.5,90,1687,2,2,1,0,3016.145999999935,,
1537,1017,22,Male,Not Set,study4ap,3,3,0,0,0,0,0,8,1,4,0.6,90,619,2,2,1,2,5848.826000000379,,
1542,1018,18,female,Not Set,study4ap,3,3,0,0,0,0,0,1,1,7,0.1,270,2110,1,1,1,5,6366.195999999953,,
1542,1018,18,female,Not Set,study4ap,3,3,0,0,0,0,0,2,1,8,0.3,270,945,1,1,1,6,8482.592999999964,,
1542,1018,18,female,Not Set,study4ap,3,3,0,0,0,0,0,3,1,5,0.5,270,864,1,1,1,3,4983.257999999987,,
1542,1018,18,female,Not Set,study4ap,3,3,0,0,0,0,0,4,1,3,0.6,270,623,1,1,1,1,3850.4189999999944,,
1542,1018,18,female,Not Set,study4ap,3,3,0,0,0,0,0,5,1,1,0.1,90,-1,-1,2,-1,0,0,,
1542,1018,18,female,Not Set,study4ap,3,3,0,0,0,0,0,6,1,6,0.3,90,517,2,2,1,4,5849.648000000016,,
1542,1018,18,female,Not Set,study4ap,3,3,0,0,0,0,0,7,1,4,0.5,90,486,2,2,1,2,4483.268999999957,,
1542,1018,18,female,Not Set,study4ap,3,3,0,0,0,0,0,8,1,2,0.6,90,842,2,2,1,0,3000.617000000042,,
1547,1020,21,Female,Not Set,study4ap,3,3,0,0,0,0,0,1,1,7,0.1,270,726,1,1,1,3,8081.541000000485,,
1547,1020,21,Female,Not Set,study4ap,3,3,0,0,0,0,0,2,1,3,0.3,270,808,2,1,0,1,4532.989000000278,,
1547,1020,21,Female,Not Set,study4ap,3,3,0,0,0,0,0,3,1,5,0.5,270,492,1,1,1,2,6149.178000000589,,
1547,1020,21,Female,Not Set,study4ap,3,3,0,0,0,0,0,4,1,1,0.6,270,-1,-1,1,-1,0,0,,
1547,1020,21,Female,Not Set,study4ap,3,3,0,0,0,0,0,5,1,4,0.1,90,798,2,2,1,1,5349.296000000337,,
1547,1020,21,Female,Not Set,study4ap,3,3,0,0,0,0,0,6,1,2,0.3,90,1510,2,2,1,0,3016.418000000165,,
1547,1020,21,Female,Not Set,study4ap,3,3,0,0,0,0,0,7,1,6,0.5,90,1423,1,2,0,3,6648.705000000533,,
1547,1020,21,Female,Not Set,study4ap,3,3,0,0,0,0,0,8,1,8,0.6,90,375,2,2,1,4,8814.414000000419,,
1550,1019,21,Female,Not Set,study4ap,3,3,0,0,0,0,0,1,1,4,0.1,270,1143,2,1,0,2,6699.599000000497,,
1550,1019,21,Female,Not Set,study4ap,3,3,0,0,0,0,0,2,1,2,0.3,270,952,1,1,1,1,2716.567000000403,,
1550,1019,21,Female,Not Set,study4ap,3,3,0,0,0,0,0,3,1,7,0.5,270,682,1,1,1,4,9566.49199999994,,
1550,1019,21,Female,Not Set,study4ap,3,3,0,0,0,0,0,4,1,8,0.6,270,982,1,1,1,5,10250.130000000354,,
1550,1019,21,Female,Not Set,study4ap,3,3,0,0,0,0,0,5,1,3,0.1,90,-1,-1,2,-1,2,3683.1160000010714,,
1550,1019,21,Female,Not Set,study4ap,3,3,0,0,0,0,0,6,1,6,0.3,90,887,2,2,1,3,8666.67300000065,,
1550,1019,21,Female,Not Set,study4ap,3,3,0,0,0,0,0,7,1,1,0.5,90,2710,2,2,1,0,0,,
1550,1019,21,Female,Not Set,study4ap,3,3,0,0,0,0,0,8,1,5,0.6,90,816,2,2,1,2,7849.4390000005515,,
1557,1022,21,Male,Not Set,study4ap,3,3,0,0,0,0,0,1,1,2,0.1,270,387,1,1,1,0,3016.389000000003,,
1557,1022,21,Male,Not Set,study4ap,3,3,0,0,0,0,0,2,1,3,0.3,270,794,2,1,0,1,3415.9100000000544,,
1557,1022,21,Male,Not Set,study4ap,3,3,0,0,0,0,0,3,1,6,0.5,270,429,1,1,1,2,5482.022000000143,,
1557,1022,21,Male,Not Set,study4ap,3,3,0,0,0,0,0,4,1,7,0.6,270,514,1,1,1,3,5915.036000000095,,
1557,1022,21,Male,Not Set,study4ap,3,3,0,0,0,0,0,5,1,8,0.1,90,789,1,2,0,4,6431.960000000108,,
1557,1022,21,Male,Not Set,study4ap,3,3,0,0,0,0,0,6,1,1,0.3,90,-1,-1,2,-1,0,0,,
1557,1022,21,Male,Not Set,study4ap,3,3,0,0,0,0,0,7,1,4,0.5,90,746,1,2,0,1,4215.479000000079,,
1557,1022,21,Male,Not Set,study4ap,3,3,0,0,0,0,0,8,1,5,0.6,90,506,2,2,1,1,4965.490000000049,,
1558,1023,21,Male,Not Set,study4ap,3,3,0,0,0,0,0,1,1,6,0.1,270,1502,2,1,0,4,5765.988999999972,,
1558,1023,21,Male,Not Set,study4ap,3,3,0,0,0,0,0,2,1,8,0.3,270,784,1,1,1,4,8265.789999999906,,
1558,1023,21,Male,Not Set,study4ap,3,3,0,0,0,0,0,3,1,3,0.5,270,615,1,1,1,1,4016.405999999959,,
1558,1023,21,Male,Not Set,study4ap,3,3,0,0,0,0,0,4,1,5,0.6,270,524,1,1,1,3,5232.793000000005,,
1558,1023,21,Male,Not Set,study4ap,3,3,0,0,0,0,0,5,1,1,0.1,90,-1,-1,2,-1,0,0,,
1558,1023,21,Male,Not Set,study4ap,3,3,0,0,0,0,0,6,1,7,0.3,90,976,1,2,0,4,7282.456000000006,,
1558,1023,21,Male,Not Set,study4ap,3,3,0,0,0,0,0,7,1,4,0.5,90,590,2,2,1,2,4632.934999999969,,
1558,1023,21,Male,Not Set,study4ap,3,3,0,0,0,0,0,8,1,2,0.6,90,984,2,2,1,0,3016.56200000002,,
1567,1024,18,female,Not Set,study4ap,3,3,0,0,0,0,0,1,1,1,0.1,270,2008,1,1,1,0,0,,
1567,1024,18,female,Not Set,study4ap,3,3,0,0,0,0,0,2,1,3,0.3,270,834,1,1,1,1,5024.515999999945,,
1567,1024,18,female,Not Set,study4ap,3,3,0,0,0,0,0,3,1,5,0.5,270,507,1,1,1,3,6585.210000000196,,
1567,1024,18,female,Not Set,study4ap,3,3,0,0,0,0,0,4,1,7,0.6,270,566,1,1,1,5,7728.609000000244,,
1567,1024,18,female,Not Set,study4ap,3,3,0,0,0,0,0,5,1,2,0.1,90,-1,-1,2,-1,1,2011.0679999997956,,
1567,1024,18,female,Not Set,study4ap,3,3,0,0,0,0,0,6,1,6,0.3,90,622,2,2,1,4,7098.965000000142,,
1567,1024,18,female,Not Set,study4ap,3,3,0,0,0,0,0,7,1,8,0.5,90,406,2,2,1,6,8308.896000000474,,
1567,1024,18,female,Not Set,study4ap,3,3,0,0,0,0,0,8,1,4,0.6,90,712,2,2,1,2,5871.586000000207,,
1572,1028,18,Male,Not Set,study4ap,3,3,0,0,0,0,0,1,1,4,0.1,270,1314,1,1,1,3,4399.733999999633,,
1572,1028,18,Male,Not Set,study4ap,3,3,0,0,0,0,0,2,1,8,0.3,270,670,1,1,1,7,7815.719999998706,,
1572,1028,18,Male,Not Set,study4ap,3,3,0,0,0,0,0,3,1,2,0.5,270,988,1,1,1,1,2199.928,,
1572,1028,18,Male,Not Set,study4ap,3,3,0,0,0,0,0,4,1,6,0.6,270,640,1,1,1,5,6599.347999998834,,
1572,1028,18,Male,Not Set,study4ap,3,3,0,0,0,0,0,5,1,3,0.1,90,1187,2,2,1,2,3199.7579999997542,,
1572,1028,18,Male,Not Set,study4ap,3,3,0,0,0,0,0,6,1,5,0.3,90,869,2,2,1,4,5716.176999999341,,
1572,1028,18,Male,Not Set,study4ap,3,3,0,0,0,0,0,7,1,7,0.5,90,566,2,2,1,6,7249.195999998861,,
1572,1028,18,Male,Not Set,study4ap,3,3,0,0,0,0,0,8,1,1,0.6,90,2188,2,2,1,0,0,,
1574,1027,21,Male,Not Set,study4ap,3,3,0,0,0,0,0,1,1,5,0.1,270,1707,1,1,1,3,8514.867999999296,,
1574,1027,21,Male,Not Set,study4ap,3,3,0,0,0,0,0,2,1,6,0.3,270,1302,1,1,1,4,10231.043999999201,,
1574,1027,21,Male,Not Set,study4ap,3,3,0,0,0,0,0,3,1,2,0.5,270,2059,1,1,1,1,2366.3769999993747,,
