resultid,subjectid,age,gender,source,experiment,block,blockorder,requiredaccuracy,maxduration,startgain,potentialgain,finishgain,trial,repeat,order,coherence,angle,time,response,correctresponse,iscorrect,startcorrect,startduration,effortbefore,effortafter
1510,1002,23,female,Not Set,study4aa,1,1,0,0,0,0,0,1,1,108,0.05,270,360,1,1,1,88,72926.56200012425,,
1510,1002,23,female,Not Set,study4aa,1,1,0,0,0,0,0,2,1,98,0.1,270,533,2,1,0,80,67559.2960001668,,
1510,1002,23,female,Not Set,study4aa,1,1,0,0,0,0,0,3,1,114,0.15,270,716,1,1,1,93,76593.80700008478,,
1510,1002,23,female,Not Set,study4aa,1,1,0,0,0,0,0,4,1,23,0.2,270,685,1,1,1,17,20452.899000083562,,
1510,1002,23,female,Not Set,study4aa,1,1,0,0,0,0,0,5,1,116,0.25,270,624,1,1,1,95,77894.33300006203,,
1510,1002,23,female,Not Set,study4aa,1,1,0,0,0,0,0,6,1,22,0.3,270,462,1,1,1,16,19985.726000042632,,
1510,1002,23,female,Not Set,study4aa,1,1,0,0,0,0,0,7,1,57,0.35,270,509,1,1,1,44,38722.429000074044,,
1510,1002,23,female,Not Set,study4aa,1,1,0,0,0,0,0,8,1,92,0.4,270,792,1,1,1,75,63325.38300019223,,
1510,1002,23,female,Not Set,study4aa,1,1,0,0,0,0,0,9,1,18,0.45,270,775,2,1,0,13,16935.66500005545,,
1510,1002,23,female,Not Set,study4aa,1,1,0,0,0,0,0,10,1,12,0.5,270,599,1,1,1,9,12118.411000003107,,
1510,1002,23,female,Not Set,study4aa,1,1,0,0,0,0,0,11,1,37,0.55,270,431,1,1,1,27,27904.03400012292,,
1510,1002,23,female,Not Set,study4aa,1,1,0,0,0,0,0,12,1,104,0.6,270,447,1,1,1,84,70609.84900011681,,
1510,1002,23,female,Not Set,study4aa,1,1,0,0,0,0,0,13,1,17,0.05,90,890,1,2,0,13,16035.64700006973,,
1510,1002,23,female,Not Set,study4aa,1,1,0,0,0,0,0,14,1,93,0.1,90,784,1,2,0,76,64125.39900018601,,
1510,1002,23,female,Not Set,study4aa,1,1,0,0,0,0,0,15,1,26,0.15,90,500,1,2,0,18,22336.270000087097,,
1510,1002,23,female,Not Set,study4aa,1,1,0,0,0,0,0,16,1,14,0.2,90,831,2,2,1,10,13601.774000038859,,
1510,1002,23,female,Not Set,study4aa,1,1,0,0,0,0,0,17,1,3,0.25,90,1797,2,2,1,1,3717.2410000348464,,
1510,1002,23,female,Not Set,study4aa,1,1,0,0,0,0,0,18,1,96,0.3,90,591,2,2,1,78,66158.77300017746,,
1510,1002,23,female,Not Set,study4aa,1,1,0,0,0,0,0,19,1,51,0.35,90,498,2,2,1,38,35371.85000005411,,
1510,1002,23,female,Not Set,study4aa,1,1,0,0,0,0,0,20,1,58,0.4,90,600,2,2,1,45,39239.10600011004,,
1510,1002,23,female,Not Set,study4aa,1,1,0,0,0,0,0,21,1,97,0.45,90,792,2,2,1,79,66759.28000017302,,
1510,1002,23,female,Not Set,study4aa,1,1,0,0,0,0,0,22,1,45,0.5,90,524,2,2,1,32,32071.27700006822,,
1510,1002,23,female,Not Set,study4aa,1,1,0,0,0,0,0,23,1,34,0.55,90,541,2,2,1,24,26370.174000097904,,
1510,1002,23,female,Not Set,study4aa,1,1,0,0,0,0,0,24,1,16,0.6,90,644,2,2,1,12,15385.143000050448,,
1510,1002,23,female,Not Set,study4aa,1,1,0,0,0,0,0,25,1,24,0.05,270,779,2,1,0,18,21136.24600006733,,
1510,1002,23,female,Not Set,study4aa,1,1,0,0,0,0,0,26,1,49,0.1,270,460,1,1,1,36,34221.827000088524,,
1510,1002,23,female,Not Set,study4aa,1,1,0,0,0,0,0,27,1,2,0.15,270,-1,-1,1,-1,1,716.6810000198893,,
1510,1002,23,female,Not Set,study4aa,1,1,0,0,0,0,0,28,1,33,0.2,270,507,1,1,1,23,25853.497000120115,,
1510,1002,23,female,Not Set,study4aa,1,1,0,0,0,0,0,29,1,106,0.25,270,493,1,1,1,86,71576.53500011656,,
1510,1002,23,female,Not Set,study4aa,1,1,0,0,0,0,0,30,1,83,0.3,270,874,1,1,1,67,57357.613000203855,,
1510,1002,23,female,Not Set,study4aa,1,1,0,0,0,0,0,31,1,120,0.35,270,562,1,1,1,98,80011.04200008558,,
1510,1002,23,female,Not Set,study4aa,1,1,0,0,0,0,0,32,1,4,0.4,270,882,1,1,1,2,5517.277000006288,,
1510,1002,23,female,Not Set,study4aa,1,1,0,0,0,0,0,33,1,113,0.45,270,633,1,1,1,92,75960.46100009698,,
1510,1002,23,female,Not Set,study4aa,1,1,0,0,0,0,0,34,1,27,0.5,270,524,1,1,1,18,22836.280000105035,,
1510,1002,23,female,Not Set,study4aa,1,1,0,0,0,0,0,35,1,89,0.55,270,597,1,1,1,72,61041.51400027331,,
1510,1002,23,female,Not Set,study4aa,1,1,0,0,0,0,0,36,1,20,0.6,270,996,1,1,1,14,18319.02600004105,,
1510,1002,23,female,Not Set,study4aa,1,1,0,0,0,0,0,37,1,79,0.05,90,734,2,2,1,63,54240.88400020264,,
1510,1002,23,female,Not Set,study4aa,1,1,0,0,0,0,0,38,1,77,0.1,90,742,1,2,0,62,52940.36500022048,,
1510,1002,23,female,Not Set,study4aa,1,1,0,0,0,0,0,39,1,43,0.15,90,332,1,2,0,32,31254.594000056386,,
1510,1002,23,female,Not Set,study4aa,1,1,0,0,0,0,0,40,1,50,0.2,90,685,2,2,1,37,34688.50300007034,,
1510,1002,23,female,Not Set,study4aa,1,1,0,0,0,0,0,41,1,75,0.25,90,808,2,2,1,60,51473.66900020279,,
1510,1002,23,female,Not Set,study4aa,1,1,0,0,0,0,0,42,1,25,0.3,90,408,1,2,0,18,21919.595000101253,,
1510,1002,23,female,Not Set,study4aa,1,1,0,0,0,0,0,43,1,6,0.35,90,998,2,2,1,3,7151.108000020031,,
1510,1002,23,female,Not Set,study4aa,1,1,0,0,0,0,0,44,1,48,0.4,90,607,2,2,1,35,33604.64100004174,,
1510,1002,23,female,Not Set,study4aa,1,1,0,0,0,0,0,45,1,105,0.45,90,504,2,2,1,85,71059.85800008057,,
1510,1002,23,female,Not Set,study4aa,1,1,0,0,0,0,0,46,1,9,0.5,90,608,2,2,1,6,9567.823000019416,,
1510,1002,23,female,Not Set,study4aa,1,1,0,0,0,0,0,47,1,59,0.55,90,412,2,2,1,46,39839.118000119925,,
1510,1002,23,female,Not Set,study4aa,1,1,0,0,0,0,0,48,1,85,0.6,90,495,2,2,1,69,58791.469000221696,,
1510,1002,23,female,Not Set,study4aa,1,1,0,0,0,0,0,49,1,69,0.05,270,484,1,1,1,54,45806.889000174124,,
1510,1002,23,female,Not Set,study4aa,1,1,0,0,0,0,0,50,1,53,0.1,270,427,1,1,1,40,36438.53800010402,,
1510,1002,23,female,Not Set,study4aa,1,1,0,0,0,0,0,51,1,101,0.15,270,524,2,1,0,82,69059.3260001624,,
1510,1002,23,female,Not Set,study4aa,1,1,0,0,0,0,0,52,1,31,0.2,270,401,1,1,1,22,25003.480000130367,,
1510,1002,23,female,Not Set,study4aa,1,1,0,0,0,0,0,53,1,7,0.25,270,603,1,1,1,4,8151.127999997698,,
1510,1002,23,female,Not Set,study4aa,1,1,0,0,0,0,0,54,1,65,0.3,270,675,1,1,1,52,43456.35100011714,,
1510,1002,23,female,Not Set,study4aa,1,1,0,0,0,0,0,55,1,102,0.35,270,516,1,1,1,82,69592.67000015825,,
1510,1002,23,female,Not Set,study4aa,1,1,0,0,0,0,0,56,1,56,0.4,270,570,1,1,1,43,38155.75100010028,,
