resultid,subjectid,age,gender,source,experiment,block,blockorder,requiredaccuracy,maxduration,startgain,potentialgain,finishgain,trial,repeat,order,brightness,time,response,correctresponse,iscorrect,startcorrect,startduration
1357,1001,23,female,Not Set,study6ba,1,1,0,0,0,0,0,1,1,108,0.45,525,2,2,1,85,60879.05899918405
1357,1001,23,female,Not Set,study6ba,1,1,0,0,0,0,0,2,1,142,0.46,456,2,2,1,110,80076.58799906494
1357,1001,23,female,Not Set,study6ba,1,1,0,0,0,0,0,3,1,54,0.47,517,1,2,0,43,31440.378999570385
1357,1001,23,female,Not Set,study6ba,1,1,0,0,0,0,0,4,1,26,0.48,469,2,2,1,19,17780.277999932878
1357,1001,23,female,Not Set,study6ba,1,1,0,0,0,0,0,5,1,137,0.52,524,2,1,0,108,77624.77499910165
1357,1001,23,female,Not Set,study6ba,1,1,0,0,0,0,0,6,1,23,0.53,532,1,1,1,16,16362.350999901537
1357,1001,23,female,Not Set,study6ba,1,1,0,0,0,0,0,7,1,127,0.54,890,1,1,1,100,71820.4829992028
1357,1001,23,female,Not Set,study6ba,1,1,0,0,0,0,0,8,1,110,0.55,451,2,1,0,87,62046.58899916103
1357,1001,23,female,Not Set,study6ba,1,1,0,0,0,0,0,9,1,31,0.45,568,2,2,1,24,20482.275999791455
1357,1001,23,female,Not Set,study6ba,1,1,0,0,0,0,0,10,1,159,0.46,503,1,2,0,123,88299.59799890639
1357,1001,23,female,Not Set,study6ba,1,1,0,0,0,0,0,11,1,62,0.47,470,1,2,0,50,35643.73199956026
1357,1001,23,female,Not Set,study6ba,1,1,0,0,0,0,0,12,1,198,0.48,484,2,2,1,153,108464.76899896516
1357,1001,23,female,Not Set,study6ba,1,1,0,0,0,0,0,13,1,97,0.52,558,1,1,1,76,54274.174999271054
1357,1001,23,female,Not Set,study6ba,1,1,0,0,0,0,0,14,1,185,0.53,456,1,1,1,142,101809.58799895598
1357,1001,23,female,Not Set,study6ba,1,1,0,0,0,0,0,15,1,109,0.54,630,1,1,1,86,61412.786999193486
1357,1001,23,female,Not Set,study6ba,1,1,0,0,0,0,0,16,1,56,0.55,406,1,1,1,44,32507.834999531042
1357,1001,23,female,Not Set,study6ba,1,1,0,0,0,0,0,17,1,138,0.45,438,2,2,1,108,78158.50299911108
1357,1001,23,female,Not Set,study6ba,1,1,0,0,0,0,0,18,1,98,0.46,996,2,2,1,77,54841.260999266524
1357,1001,23,female,Not Set,study6ba,1,1,0,0,0,0,0,19,1,86,0.47,614,2,2,1,68,48219.697999360505
1357,1001,23,female,Not Set,study6ba,1,1,0,0,0,0,0,20,1,181,0.48,478,2,2,1,139,99858.14499895787
1357,1001,23,female,Not Set,study6ba,1,1,0,0,0,0,0,21,1,8,0.52,425,1,1,1,6,7939.203999994788
1357,1001,23,female,Not Set,study6ba,1,1,0,0,0,0,0,22,1,60,0.53,600,1,1,1,48,34459.522999532055
1357,1001,23,female,Not Set,study6ba,1,1,0,0,0,0,0,23,1,169,0.54,517,1,1,1,130,93403.37199898204
1357,1001,23,female,Not Set,study6ba,1,1,0,0,0,0,0,24,1,74,0.55,520,1,1,1,60,41564.77699952666
1357,1001,23,female,Not Set,study6ba,1,1,0,0,0,0,0,25,1,67,0.45,432,2,2,1,54,38095.544999465346
1357,1001,23,female,Not Set,study6ba,1,1,0,0,0,0,0,26,1,150,0.46,451,2,2,1,116,83829.36299894936
1357,1001,23,female,Not Set,study6ba,1,1,0,0,0,0,0,27,1,193,0.47,408,2,2,1,149,105829.48699896224
1357,1001,23,female,Not Set,study6ba,1,1,0,0,0,0,0,28,1,146,0.48,493,2,2,1,113,81994.6729990188
1357,1001,23,female,Not Set,study6ba,1,1,0,0,0,0,0,29,1,163,0.52,577,1,1,1,125,90217.68299897667
1357,1001,23,female,Not Set,study6ba,1,1,0,0,0,0,0,30,1,158,0.53,541,1,1,1,122,87749.19099890394
1357,1001,23,female,Not Set,study6ba,1,1,0,0,0,0,0,31,1,180,0.54,627,1,1,1,138,99224.34299893212
1357,1001,23,female,Not Set,study6ba,1,1,0,0,0,0,0,32,1,72,0.55,573,1,1,1,59,40547.35799948685
1357,1001,23,female,Not Set,study6ba,1,1,0,0,0,0,0,33,1,120,0.45,471,1,2,0,95,67817.52299919026
1357,1001,23,female,Not Set,study6ba,1,1,0,0,0,0,0,34,1,85,0.46,508,2,2,1,67,47702.64899934409
1357,1001,23,female,Not Set,study6ba,1,1,0,0,0,0,0,35,1,19,0.47,496,1,2,0,13,14244.117999973241
1357,1001,23,female,Not Set,study6ba,1,1,0,0,0,0,0,36,1,11,0.48,693,2,2,1,8,9507.030000037048
1357,1001,23,female,Not Set,study6ba,1,1,0,0,0,0,0,37,1,176,0.52,478,2,1,0,137,97356.29499895731
1357,1001,23,female,Not Set,study6ba,1,1,0,0,0,0,0,38,1,35,0.53,447,1,1,1,28,22300.286999787204
1357,1001,23,female,Not Set,study6ba,1,1,0,0,0,0,0,39,1,126,0.54,688,1,1,1,99,71119.96499920497
1357,1001,23,female,Not Set,study6ba,1,1,0,0,0,0,0,40,1,95,0.55,566,1,1,1,74,53156.68199927313
