resultid,subjectid,age,gender,source,experiment,block,blockorder,requiredaccuracy,maxduration,startgain,potentialgain,finishgain,trial,repeat,order,brightness,time,response,correctresponse,iscorrect,startcorrect,startduration
11026,1128,24,male,mturk,study6bp,3,3,0,0,0,0,0,5,1,2,0.52,-1,-1,1,-1,0,3016.5459999989253
11026,1128,24,male,mturk,study6bp,3,3,0,0,0,0,0,6,1,4,0.54,660,1,1,1,1,7283.041999995476
11026,1128,24,male,mturk,study6bp,3,3,0,0,0,0,0,7,1,7,0.56,610,2,1,0,4,9032.97199998633
11026,1128,24,male,mturk,study6bp,3,3,0,0,0,0,0,8,1,3,0.68,1261,1,1,1,0,6033.0919999978505
11027,1130,43,male,mturk,study6bp,3,3,0,0,0,0,0,1,1,8,0.42,628,2,2,1,5,5349.786000093445
11027,1130,43,male,mturk,study6bp,3,3,0,0,0,0,0,2,1,3,0.44,965,1,2,0,2,1549.9380000401288
11027,1130,43,male,mturk,study6bp,3,3,0,0,0,0,0,3,1,1,0.46,1063,2,2,1,0,0
11027,1130,43,male,mturk,study6bp,3,3,0,0,0,0,0,4,1,7,0.48,904,2,2,1,4,4433.156000217423
11027,1130,43,male,mturk,study6bp,3,3,0,0,0,0,0,5,1,6,0.52,653,2,1,0,4,3766.5160002652556
11027,1130,43,male,mturk,study6bp,3,3,0,0,0,0,0,6,1,2,0.54,481,1,1,1,1,1066.6239999700338
11027,1130,43,male,mturk,study6bp,3,3,0,0,0,0,0,7,1,4,0.56,591,1,1,1,2,2516.566000180319
11027,1130,43,male,mturk,study6bp,3,3,0,0,0,0,0,8,1,5,0.68,648,1,1,1,3,3116.542000323534
11028,1129,38,male,mturk,study6bp,3,3,0,0,0,0,0,1,1,2,0.42,696,2,2,1,1,899.9599999988277
11028,1129,38,male,mturk,study6bp,3,3,0,0,0,0,0,2,1,1,0.44,887,2,2,1,0,0
11028,1129,38,male,mturk,study6bp,3,3,0,0,0,0,0,3,1,3,0.46,537,2,2,1,2,1599.910999999338
11028,1129,38,male,mturk,study6bp,3,3,0,0,0,0,0,4,1,4,0.48,697,2,2,1,3,2149.8799999990297
11028,1129,38,male,mturk,study6bp,3,3,0,0,0,0,0,5,1,5,0.52,611,2,1,0,4,2849.8389999986102
11028,1129,38,male,mturk,study6bp,3,3,0,0,0,0,0,6,1,7,0.54,784,1,1,1,5,4149.794999999358
11028,1129,38,male,mturk,study6bp,3,3,0,0,0,0,0,7,1,8,0.56,817,1,1,1,6,4933.090000000448
11028,1129,38,male,mturk,study6bp,3,3,0,0,0,0,0,8,1,6,0.68,672,1,1,1,4,3466.4899999988847
11030,1132,65,female,mturk,study6bp,3,3,0,0,0,0,0,1,1,6,0.42,1074,2,2,1,3,9115.694999694824
11030,1132,65,female,mturk,study6bp,3,3,0,0,0,0,0,2,1,3,0.44,2589,2,2,1,1,3166.030999738723
11030,1132,65,female,mturk,study6bp,3,3,0,0,0,0,0,3,1,5,0.46,1006,2,2,1,2,8098.833999596536
11030,1132,65,female,mturk,study6bp,3,3,0,0,0,0,0,4,1,2,0.48,1645,1,2,0,1,1516.7109998874366
