resultid,subjectid,age,gender,source,experiment,block,blockorder,requiredaccuracy,maxduration,startgain,potentialgain,finishgain,trial,repeat,order,coherence,angle,time,response,correctresponse,iscorrect,startcorrect,startduration,effortbefore,effortafter
1314,1013,23,female,Not Set,study3as,1,1,0,0,0,0,0,42,1,40,0.06,225,710,1,1,1,28,25553.914999996778,,
1314,1013,23,female,Not Set,study3as,1,1,0,0,0,0,0,43,1,58,0.07,225,590,1,1,1,43,37496.8129999761,,
1314,1013,23,female,Not Set,study3as,1,1,0,0,0,0,0,44,1,67,0.08,255,697,1,1,1,52,43768.64499996009,,
1314,1013,23,female,Not Set,study3as,1,1,0,0,0,0,0,45,1,57,0.05,135,584,2,2,1,42,36913.04799997306,,
1314,1013,23,female,Not Set,study3as,1,1,0,0,0,0,0,46,1,68,0.06,135,507,2,2,1,53,44469.162999957916,,
1314,1013,23,female,Not Set,study3as,1,1,0,0,0,0,0,47,1,118,0.07,135,434,2,2,1,99,80864.72199996933,,
1314,1013,23,female,Not Set,study3as,1,1,0,0,0,0,0,48,1,79,0.08,135,752,2,2,1,62,52792.478999937885,,
1314,1013,23,female,Not Set,study3as,1,1,0,0,0,0,0,49,1,120,0.05,225,456,1,1,1,101,81798.98699997284,,
1314,1013,23,female,Not Set,study3as,1,1,0,0,0,0,0,50,1,106,0.06,225,627,1,1,1,87,72624.78399998508,,
1314,1013,23,female,Not Set,study3as,1,1,0,0,0,0,0,51,1,17,0.07,225,522,2,1,0,11,11776.119999965886,,
1314,1013,23,female,Not Set,study3as,1,1,0,0,0,0,0,52,1,43,0.08,255,657,1,1,1,31,27722.440999990795,,
1314,1013,23,female,Not Set,study3as,1,1,0,0,0,0,0,53,1,4,0.05,135,742,2,2,1,2,2285.279999996419,,
1314,1013,23,female,Not Set,study3as,1,1,0,0,0,0,0,54,1,109,0.06,135,624,2,2,1,90,74576.48599997628,,
1314,1013,23,female,Not Set,study3as,1,1,0,0,0,0,0,55,1,77,0.07,135,720,2,2,1,60,51307.79899994377,,
1314,1013,23,female,Not Set,study3as,1,1,0,0,0,0,0,56,1,42,0.08,135,696,2,2,1,30,27021.666999993613,,
1314,1013,23,female,Not Set,study3as,1,1,0,0,0,0,0,57,1,21,0.05,225,816,1,1,1,14,13811.229999977513,,
1314,1013,23,female,Not Set,study3as,1,1,0,0,0,0,0,58,1,31,0.06,225,416,1,1,1,23,20533.34100000211,,
1314,1013,23,female,Not Set,study3as,1,1,0,0,0,0,0,59,1,100,0.07,225,740,1,1,1,81,68121.19199996232,,
1314,1013,23,female,Not Set,study3as,1,1,0,0,0,0,0,60,1,49,0.08,255,625,1,1,1,35,31825.74499998009,,
1314,1013,23,female,Not Set,study3as,1,1,0,0,0,0,0,61,1,1,0.05,135,-1,-1,2,-1,0,0,,
1314,1013,23,female,Not Set,study3as,1,1,0,0,0,0,0,62,1,94,0.06,135,738,1,2,0,76,63650.99699997518,,
1314,1013,23,female,Not Set,study3as,1,1,0,0,0,0,0,63,1,54,0.07,135,745,1,2,0,40,34811.28599998192,,
1314,1013,23,female,Not Set,study3as,1,1,0,0,0,0,0,64,1,5,0.08,135,767,1,2,0,3,3035.8350000024075,,
1314,1013,23,female,Not Set,study3as,1,1,0,0,0,0,0,65,1,116,0.05,225,894,1,1,1,97,79430.32799997309,,
1314,1013,23,female,Not Set,study3as,1,1,0,0,0,0,0,66,1,111,0.06,225,608,1,1,1,92,76027.5589999801,,
